date_extraction,temperature,clouds,pressure,visibility,wind_speed,humidity,wind_degree,ville
2022-12-20,24.5,30,1013.4,,23.1,65,85,Buenos Aires
2022-12-21,24.5,40,1013.1,,22.6,62,81,Buenos Aires
2022-12-22,25.7,70,1009.6,,20.9,60,70,Buenos Aires
2022-12-23,23.0,84,1007.5,,14.1,80,74,Buenos Aires
2022-12-24,20.0,84,1011.4,,22.5,74,190,Buenos Aires
2022-12-25,18.3,25,1016.1,,13.6,56,192,Buenos Aires
2022-12-26,20.9,13,1012.8,,8.6,62,6,Buenos Aires
2022-12-27,24.2,7,1009.0,,11.7,59,5,Buenos Aires
2022-12-28,24.4,21,1007.7,,21.0,53,168,Buenos Aires
2022-12-29,23.0,0,1011.5,,11.4,56,48,Buenos Aires
2022-12-30,28.0,0,1006.8,,17.1,47,353,Buenos Aires
2022-12-31,24.8,33,1009.6,,26.7,48,111,Buenos Aires
2023-01-01,23.1,91,1007.6,,14.6,72,94,Buenos Aires
2023-01-02,22.2,31,1005.7,,21.8,64,232,Buenos Aires
2023-01-03,24.8,19,1005.7,,19.9,54,280,Buenos Aires
2023-01-04,22.4,0,1011.2,,14.5,57,100,Buenos Aires
2023-01-05,24.0,6,1013.1,,15.0,54,72,Buenos Aires
2023-01-06,26.2,47,1014.5,,20.8,60,85,Buenos Aires
2023-01-07,26.3,9,1017.1,,23.6,55,81,Buenos Aires
2023-01-08,25.6,13,1016.2,,21.9,62,82,Buenos Aires
2023-01-09,25.2,1,1012.1,,21.7,66,81,Buenos Aires
2023-01-10,25.4,23,1008.7,,18.0,67,85,Buenos Aires
2023-01-11,24.9,56,1007.5,,13.0,69,150,Buenos Aires
2023-01-12,23.8,67,1007.6,,11.1,64,177,Buenos Aires
2023-01-13,24.8,18,1007.4,,15.4,45,211,Buenos Aires
2023-01-14,26.0,0,1007.7,,13.2,40,21,Buenos Aires
2023-01-15,27.8,4,1010.4,,15.4,42,44,Buenos Aires
2023-01-16,27.9,25,1010.3,,17.6,52,68,Buenos Aires
2023-01-17,28.2,19,1012.3,,23.8,53,84,Buenos Aires
2023-01-18,26.0,81,1015.5,,24.5,65,85,Buenos Aires
2023-01-19,26.8,27,1013.1,,22.1,64,82,Buenos Aires
2023-01-20,27.1,76,1006.3,,20.3,69,70,Buenos Aires
2023-01-21,25.8,61,1002.2,,16.3,71,275,Buenos Aires
2023-01-22,26.1,30,1004.3,,12.0,59,223,Buenos Aires
2023-01-23,25.5,2,1007.9,,10.7,64,99,Buenos Aires
2023-01-24,27.2,42,1005.7,,15.3,51,13,Buenos Aires
2023-01-25,25.4,26,1007.4,,16.1,70,118,Buenos Aires
2023-01-26,26.7,46,1006.0,,16.2,70,55,Buenos Aires
2023-01-27,24.9,79,1008.0,,10.8,85,170,Buenos Aires
2023-01-28,24.8,35,1011.8,,14.4,83,129,Buenos Aires
2023-01-29,24.0,8,1013.7,,21.7,76,107,Buenos Aires
